Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nn,00390208,9,"Thursday, October  4, 2012 09:08:57 UTC",39.7205,-119.4490,1.8,11.80,28,"Nevada"
ak,10570416,1,"Thursday, October  4, 2012 08:49:26 UTC",63.9358,-148.8149,1.4,0.10,12,"Central Alaska"
ci,15224593,0,"Thursday, October  4, 2012 08:06:40 UTC",33.8522,-116.8233,1.2,17.50,66,"Southern California"
ci,15224585,0,"Thursday, October  4, 2012 07:03:26 UTC",34.7135,-119.3872,1.6,1.60,12,"Southern California"
nc,71852085,1,"Thursday, October  4, 2012 06:56:44 UTC",36.3697,-120.9535,2.1,6.80,20,"Central California"
us,c000d163,7,"Thursday, October  4, 2012 06:38:45 UTC",-8.1731,123.4493,4.8,15.30,32,"Flores region, Indonesia"
us,c000d15v,C,"Thursday, October  4, 2012 06:11:05 UTC",-24.0611,-66.9133,4.8,173.00,294,"Salta, Argentina"
nn,00390202,9,"Thursday, October  4, 2012 05:54:15 UTC",39.7212,-119.4488,2.1,12.50,37,"Nevada"
nc,71852065,0,"Thursday, October  4, 2012 05:38:14 UTC",38.7977,-122.8075,1.3,3.60,21,"Northern California"
nn,00390201,9,"Thursday, October  4, 2012 05:29:49 UTC",39.7153,-119.4513,2.1,9.80,17,"Nevada"
ak,10570397,1,"Thursday, October  4, 2012 05:28:01 UTC",63.5590,-147.6497,1.8,0.00,19,"Central Alaska"
pr,12278001,0,"Thursday, October  4, 2012 04:32:46 UTC",19.6378,-64.2733,3.4,67.00, 8,"Virgin Islands region"
ak,10570389,1,"Thursday, October  4, 2012 04:27:32 UTC",60.9099,-147.4195,2.7,16.50,36,"Southern Alaska"
ak,10570385,1,"Thursday, October  4, 2012 04:16:36 UTC",60.6707,-147.2616,2.0,20.80,12,"Southern Alaska"
us,c000d14l,3,"Thursday, October  4, 2012 04:04:34 UTC",-18.6698,168.1969,4.8,95.50,23,"Vanuatu"
ak,10570379,1,"Thursday, October  4, 2012 03:59:48 UTC",63.5268,-151.3453,1.1,0.10, 5,"Central Alaska"
nn,00390199,9,"Thursday, October  4, 2012 03:54:13 UTC",36.8698,-117.4262,1.1,13.90,24,"Central California"
us,c000d14d,4,"Thursday, October  4, 2012 03:51:33 UTC",-10.7807,113.9806,4.7,8.20,25,"south of Java, Indonesia"
uw,60472281,2,"Thursday, October  4, 2012 03:44:45 UTC",47.6543,-121.8782,2.1,17.50,43,"Puget Sound region, Washington"
ak,10570365,1,"Thursday, October  4, 2012 03:36:15 UTC",60.1113,-152.5264,1.9,98.10,11,"Southern Alaska"
ak,10570357,1,"Thursday, October  4, 2012 03:32:10 UTC",60.4264,-152.0400,3.4,100.20,60,"Southern Alaska"
nc,71852030,1,"Thursday, October  4, 2012 03:28:58 UTC",39.7513,-122.8852,2.4,8.10,16,"Northern California"
pr,12278000,0,"Thursday, October  4, 2012 03:11:28 UTC",19.5802,-64.3450,3.4,60.00,12,"Virgin Islands region"
ci,15224561,0,"Thursday, October  4, 2012 02:56:08 UTC",33.0323,-116.4462,1.4,6.30,65,"Southern California"
nn,00390192,9,"Thursday, October  4, 2012 02:48:08 UTC",36.8708,-117.4258,1.3,9.50,24,"Central California"
nc,71852020,1,"Thursday, October  4, 2012 02:45:00 UTC",39.2538,-122.7257,2.2,11.00,18,"Northern California"
nc,71852005,0,"Thursday, October  4, 2012 02:28:25 UTC",39.2350,-122.7153,2.0,9.60, 7,"Northern California"
nc,71851995,0,"Thursday, October  4, 2012 02:00:45 UTC",37.4153,-118.5997,2.3,10.60, 9,"Central California"
us,c000d134,4,"Thursday, October  4, 2012 01:55:20 UTC",13.1307,120.4574,5.0,58.50,33,"Mindoro, Philippines"
ci,15224529,2,"Thursday, October  4, 2012 01:51:50 UTC",35.4822,-118.4087,1.0,0.00,16,"Central California"
ci,15224521,0,"Thursday, October  4, 2012 01:18:25 UTC",32.7962,-116.1515,2.1,7.40,71,"Southern California"
ci,15224513,0,"Thursday, October  4, 2012 01:18:09 UTC",35.9002,-117.7083,1.4,0.80,24,"Central California"
ak,10570333,1,"Thursday, October  4, 2012 01:14:29 UTC",66.2510,-147.3860,1.7,7.20, 6,"northern Alaska"
nn,00390181,9,"Thursday, October  4, 2012 01:07:03 UTC",36.8760,-117.4208,1.4,13.00,22,"Central California"
uw,60472251,1,"Thursday, October  4, 2012 00:59:33 UTC",45.7250,-122.9467,1.1,7.70,13,"Oregon"
nn,00390178,9,"Thursday, October  4, 2012 00:51:11 UTC",39.7131,-119.4509,1.2,9.00, 7,"Nevada"
nn,00390176,9,"Thursday, October  4, 2012 00:34:22 UTC",39.7137,-119.4483,2.1,9.30,15,"Nevada"
ci,15224489,0,"Thursday, October  4, 2012 00:34:17 UTC",33.2758,-116.7815,1.4,11.00,66,"Southern California"
ak,10570316,1,"Thursday, October  4, 2012 00:30:49 UTC",56.4432,-157.9138,2.9,46.50, 7,"Alaska Peninsula"
nc,71851960,1,"Thursday, October  4, 2012 00:29:43 UTC",38.8205,-122.8075,2.3,2.10,34,"Northern California"
nc,71851965,0,"Thursday, October  4, 2012 00:29:02 UTC",38.8225,-122.8068,1.0,2.30,22,"Northern California"
nc,71851950,1,"Thursday, October  4, 2012 00:02:05 UTC",38.8202,-122.7997,1.0,4.00,22,"Northern California"
nn,00390173,9,"Wednesday, October  3, 2012 23:57:13 UTC",36.8803,-117.4597,1.0,12.20,11,"Central California"
ci,15224473,0,"Wednesday, October  3, 2012 23:42:43 UTC",33.7008,-116.7393,2.2,21.00,104,"Southern California"
uw,60472176,1,"Wednesday, October  3, 2012 23:24:51 UTC",45.7833,-122.6312,1.5,10.20,19,"Washington"
nn,00390170,9,"Wednesday, October  3, 2012 23:16:46 UTC",39.7153,-119.4463,1.0,11.80, 5,"Nevada"
uw,60472151,1,"Wednesday, October  3, 2012 23:15:52 UTC",46.2848,-119.5210,2.4,0.00,10,"Washington"
ci,15224449,0,"Wednesday, October  3, 2012 23:05:48 UTC",36.8998,-117.4175,2.7,8.00,15,"Central California"
ci,15224441,0,"Wednesday, October  3, 2012 23:05:33 UTC",33.9337,-116.6087,1.3,16.70,53,"Southern California"
nc,71851905,0,"Wednesday, October  3, 2012 22:59:11 UTC",36.6362,-120.9213,1.8,0.70,14,"Central California"
nn,00390165,9,"Wednesday, October  3, 2012 22:56:29 UTC",36.8900,-117.4340,2.2,11.00, 8,"Central California"
nc,71851895,0,"Wednesday, October  3, 2012 22:55:32 UTC",38.8408,-122.8028,1.1,2.40,17,"Northern California"
nc,71851885,0,"Wednesday, October  3, 2012 22:50:21 UTC",37.2763,-118.1275,2.2,14.70, 7,"Central California"
us,c000d0vd,7,"Wednesday, October  3, 2012 22:48:57 UTC",-14.3307,-76.2174,4.9,32.00,190,"near the coast of central Peru"
nn,00390160,9,"Wednesday, October  3, 2012 22:47:51 UTC",36.8783,-117.4325,1.4,7.00,16,"Central California"
nn,00390158,9,"Wednesday, October  3, 2012 22:43:36 UTC",36.8777,-117.4513,1.3,15.80,19,"Central California"
ci,15224385,2,"Wednesday, October  3, 2012 22:41:21 UTC",36.8907,-117.4102,2.2,8.80,33,"Central California"
ci,15224377,2,"Wednesday, October  3, 2012 22:39:19 UTC",33.4888,-116.5342,1.0,10.40,37,"Southern California"
nc,71851870,2,"Wednesday, October  3, 2012 22:36:06 UTC",37.4267,-118.7820,1.0,15.80,20,"Central California"
us,c000d0tr,5,"Wednesday, October  3, 2012 22:23:22 UTC",46.7597,97.9196,4.7,12.60,87,"western Mongolia"
nc,71851855,7,"Wednesday, October  3, 2012 22:04:42 UTC",38.9410,-121.0068,1.7,0.00,13,"Northern California"
pr,12277004,0,"Wednesday, October  3, 2012 21:36:12 UTC",18.1830,-65.3768,2.4,0.00, 3,"Puerto Rico region"
nn,00390151,9,"Wednesday, October  3, 2012 21:31:02 UTC",39.7193,-119.4530,1.0,11.10, 7,"Nevada"
ci,15224345,0,"Wednesday, October  3, 2012 21:24:41 UTC",33.3328,-116.1887,1.3,10.00,31,"Southern California"
ak,10569427,1,"Wednesday, October  3, 2012 21:20:39 UTC",61.5360,-146.7336,1.8,26.10,10,"Southern Alaska"
ak,10569419,1,"Wednesday, October  3, 2012 21:03:47 UTC",63.5741,-147.6878,2.2,3.90,22,"Central Alaska"
us,c000d0p1,6,"Wednesday, October  3, 2012 21:02:38 UTC",-5.7651,151.1258,5.0,56.90,68,"New Britain region, Papua New Guinea"
nn,00390147,9,"Wednesday, October  3, 2012 20:45:03 UTC",38.4208,-118.7303,1.6,6.00,14,"Nevada"
nc,71851795,1,"Wednesday, October  3, 2012 20:25:52 UTC",38.5295,-122.3228,2.6,0.10,42,"Northern California"
ci,15224313,0,"Wednesday, October  3, 2012 20:25:26 UTC",32.7988,-116.1450,1.8,7.50,40,"Southern California"
nn,00390145,9,"Wednesday, October  3, 2012 20:20:55 UTC",38.4137,-118.7502,1.3,1.00, 9,"Nevada"
nn,00390140,9,"Wednesday, October  3, 2012 19:51:08 UTC",39.7236,-119.4361,3.8,10.90,34,"Nevada"
ak,10569365,1,"Wednesday, October  3, 2012 19:32:59 UTC",60.2887,-140.6004,2.0,3.70,26,"Southern Yukon Territory, Canada"
nm,100312c,A,"Wednesday, October  3, 2012 19:13:20 UTC",34.3916,-92.7262,2.1,0.10, 8,"Arkansas"
ak,10569352,1,"Wednesday, October  3, 2012 18:47:22 UTC",63.3099,-145.0809,1.5,0.10, 7,"Central Alaska"
ak,10569340,2,"Wednesday, October  3, 2012 18:30:14 UTC",53.3953,-164.2782,2.7,20.00,14,"Unimak Island region, Alaska"
us,c000d0i9,6,"Wednesday, October  3, 2012 18:28:33 UTC",5.8597,126.9547,5.4,144.50,208,"Mindanao, Philippines"
nc,71851755,0,"Wednesday, October  3, 2012 18:09:05 UTC",37.5817,-118.6158,1.1,6.90, 6,"Central California"
uw,60472021,1,"Wednesday, October  3, 2012 18:05:53 UTC",46.3322,-122.6305,2.0,0.00,15,"Washington"
ci,15224265,0,"Wednesday, October  3, 2012 18:01:41 UTC",35.9332,-117.6630,1.5,2.60,24,"Central California"
ak,10569321,1,"Wednesday, October  3, 2012 17:30:41 UTC",62.5537,-151.2670,1.6,87.20, 5,"Central Alaska"
ak,10569318,1,"Wednesday, October  3, 2012 17:29:05 UTC",62.1070,-147.7780,1.7,33.80,10,"Central Alaska"
ci,15224249,0,"Wednesday, October  3, 2012 17:21:01 UTC",32.7987,-116.1397,1.4,9.60,30,"Southern California"
ak,10569310,1,"Wednesday, October  3, 2012 17:20:45 UTC",62.0334,-147.6521,1.6,34.30,13,"Central Alaska"
ci,15224233,0,"Wednesday, October  3, 2012 17:05:20 UTC",33.2123,-116.5688,1.9,0.70,19,"Southern California"
ci,15224217,0,"Wednesday, October  3, 2012 17:01:15 UTC",33.7462,-115.9523,1.6,0.20,28,"Southern California"
pr,12277003,0,"Wednesday, October  3, 2012 16:49:04 UTC",19.1413,-65.1201,3.3,84.00, 7,"Virgin Islands region"
ci,15224209,0,"Wednesday, October  3, 2012 16:48:21 UTC",36.0427,-118.8850,2.2,11.20,31,"Central California"
uw,60471986,1,"Wednesday, October  3, 2012 16:46:15 UTC",46.5203,-122.4315,1.1,10.10,12,"Washington"
ci,15224201,0,"Wednesday, October  3, 2012 16:42:41 UTC",32.7932,-116.1508,1.8,7.80,68,"Southern California"
ak,10569288,1,"Wednesday, October  3, 2012 16:42:32 UTC",60.6347,-149.3545,2.3,33.10,22,"Kenai Peninsula, Alaska"
ci,15224193,0,"Wednesday, October  3, 2012 16:37:33 UTC",33.1390,-116.4522,1.8,9.50,23,"Southern California"
ci,15224185,0,"Wednesday, October  3, 2012 16:29:13 UTC",32.7997,-116.1440,1.4,9.00,35,"Southern California"
ak,10569279,1,"Wednesday, October  3, 2012 16:25:14 UTC",57.4268,-154.1073,2.9,13.60, 8,"Kodiak Island region, Alaska"
ci,15224169,0,"Wednesday, October  3, 2012 15:32:19 UTC",32.7947,-116.1493,1.8,5.50,65,"Southern California"
nc,71851705,3,"Wednesday, October  3, 2012 15:27:40 UTC",38.7880,-122.7283,2.0,2.50,52,"Northern California"
ci,15224145,2,"Wednesday, October  3, 2012 15:09:07 UTC",34.2188,-117.4587,1.3,9.80,33,"Greater Los Angeles area, California"
us,2012ggar,C,"Wednesday, October  3, 2012 14:41:28 UTC",44.8843,9.8649,4.6,10.00,51,"northern Italy"
ci,15224137,4,"Wednesday, October  3, 2012 14:33:49 UTC",34.0420,-117.2045,1.2,14.30,11,"Greater Los Angeles area, California"
nc,71851680,3,"Wednesday, October  3, 2012 14:08:54 UTC",38.8282,-122.7827,2.1,2.10,86,"Northern California"
uu,60000302,2,"Wednesday, October  3, 2012 13:35:33 UTC",39.5812,-111.5038,1.2,3.70, 7,"Utah"
us,c000d0c8,7,"Wednesday, October  3, 2012 13:32:34 UTC",-0.4505,97.6477,5.7,10.00,191,"Kepulauan Batu, Indonesia"
hv,60408006,1,"Wednesday, October  3, 2012 13:27:27 UTC",19.3617,-155.2185,1.8,3.30, 9,"Island of Hawaii, Hawaii"
ci,15224129,2,"Wednesday, October  3, 2012 13:25:24 UTC",33.8125,-116.9553,1.7,16.50,54,"Southern California"
hv,60408001,1,"Wednesday, October  3, 2012 12:55:16 UTC",19.3307,-155.2208,1.9,40.70,35,"Island of Hawaii, Hawaii"
uu,60000297,3,"Wednesday, October  3, 2012 12:49:37 UTC",39.6237,-110.3880,1.1,0.60, 7,"Utah"
ci,15224113,2,"Wednesday, October  3, 2012 12:11:45 UTC",34.0023,-117.0165,1.1,18.00,42,"Southern California"
nc,71851665,0,"Wednesday, October  3, 2012 11:54:41 UTC",36.9848,-121.6480,1.4,6.80,15,"Northern California"
nc,71851650,1,"Wednesday, October  3, 2012 11:33:24 UTC",38.8203,-122.8030,1.2,2.00,21,"Northern California"
ci,15224105,0,"Wednesday, October  3, 2012 11:23:55 UTC",32.7988,-116.1517,1.8,5.00,64,"Southern California"
ci,15224097,0,"Wednesday, October  3, 2012 11:03:10 UTC",33.1372,-116.4487,1.4,9.90,32,"Southern California"
ci,15224089,0,"Wednesday, October  3, 2012 10:55:15 UTC",32.8033,-116.1392,1.5,8.70,22,"Southern California"
ci,15224081,2,"Wednesday, October  3, 2012 10:24:57 UTC",34.4692,-117.9775,1.0,10.30,20,"Southern California"
ak,10569225,1,"Wednesday, October  3, 2012 10:23:09 UTC",62.9836,-151.0474,1.8,104.60,17,"Central Alaska"
pr,12277002,0,"Wednesday, October  3, 2012 10:04:04 UTC",19.8022,-64.2870,3.1,24.00, 4,"north of the Virgin Islands"
us,c000d09w,8,"Wednesday, October  3, 2012 09:39:58 UTC",38.0698,141.8982,4.9,35.40,240,"near the east coast of Honshu, Japan"
ci,15224049,0,"Wednesday, October  3, 2012 09:30:30 UTC",34.0857,-117.4597,1.7,3.60,81,"Greater Los Angeles area, California"
us,c000d09k,6,"Wednesday, October  3, 2012 09:20:44 UTC",44.6548,7.3108,4.4,10.00,31,"northern Italy"
ak,10569214,1,"Wednesday, October  3, 2012 09:08:58 UTC",61.0901,-151.0581,1.6,62.70, 5,"Southern Alaska"
nc,71851610,0,"Wednesday, October  3, 2012 08:51:58 UTC",38.8047,-122.7963,1.1,0.10,18,"Northern California"
ci,15224041,0,"Wednesday, October  3, 2012 08:48:56 UTC",33.2000,-116.9663,1.3,0.50,19,"Southern California"
nc,71851600,0,"Wednesday, October  3, 2012 08:27:34 UTC",38.8180,-122.8090,1.1,1.80,13,"Northern California"
us,c000d090,9,"Wednesday, October  3, 2012 08:16:41 UTC",44.3516,-129.0063,4.7,10.00,135,"off the coast of Oregon"
us,c000d08y,6,"Wednesday, October  3, 2012 08:02:16 UTC",14.8515,147.7972,4.8,35.10,69,"Mariana Islands region"
ak,10569203,1,"Wednesday, October  3, 2012 07:44:55 UTC",65.2469,-151.7610,1.6,2.10, 8,"northern Alaska"
ak,10569196,1,"Wednesday, October  3, 2012 07:33:18 UTC",60.4275,-142.8858,1.2,5.20, 8,"Southern Alaska"
ci,15224033,0,"Wednesday, October  3, 2012 07:33:08 UTC",32.9372,-115.7408,1.4,2.90,27,"Southern California"
ci,15224001,0,"Wednesday, October  3, 2012 07:22:50 UTC",32.7958,-116.1607,2.2,6.20,95,"Southern California"
ci,15223985,0,"Wednesday, October  3, 2012 07:07:19 UTC",32.8113,-116.1407,1.5,6.90,30,"Southern California"
ak,10569185,1,"Wednesday, October  3, 2012 06:49:33 UTC",64.3675,-150.1273,1.3,4.90, 8,"Central Alaska"
pr,12277001,0,"Wednesday, October  3, 2012 06:44:55 UTC",18.1917,-67.8452,3.2,50.00,11,"Mona Passage, Puerto Rico"
ci,15223977,0,"Wednesday, October  3, 2012 06:34:53 UTC",33.8105,-117.6237,1.7,3.90,113,"Greater Los Angeles area, California"
us,c000d07u,4,"Wednesday, October  3, 2012 06:26:41 UTC",12.2963,-87.8310,4.2,64.70,20,"near the coast of Nicaragua"
us,c000d07t,8,"Wednesday, October  3, 2012 06:26:17 UTC",-6.2772,152.7464,5.3,30.50,156,"New Britain region, Papua New Guinea"
ci,15223961,0,"Wednesday, October  3, 2012 05:49:22 UTC",33.9255,-116.8893,1.1,4.20,44,"Southern California"
ci,15223953,2,"Wednesday, October  3, 2012 05:15:23 UTC",34.0570,-118.9325,2.1,11.10,42,"Greater Los Angeles area, California"
ld,60036321,1,"Wednesday, October  3, 2012 05:02:00 UTC",44.4245,-74.7912,1.7,5.00,28,"New York"
nc,71851555,0,"Wednesday, October  3, 2012 04:56:36 UTC",36.6835,-121.1557,1.8,19.40,10,"Central California"
nc,71851550,0,"Wednesday, October  3, 2012 04:08:18 UTC",36.2245,-120.7933,1.3,5.20, 7,"Central California"
ci,15223937,2,"Wednesday, October  3, 2012 04:06:59 UTC",36.4045,-117.8480,1.5,7.90,31,"Central California"
ak,10569161,1,"Wednesday, October  3, 2012 03:31:03 UTC",57.2409,-154.8883,3.4,12.60,21,"Kodiak Island region, Alaska"
ak,10569154,1,"Wednesday, October  3, 2012 03:22:30 UTC",62.4477,-151.5121,2.5,107.20,32,"Central Alaska"
nm,100312a,A,"Wednesday, October  3, 2012 02:39:12 UTC",36.2618,-89.5487,1.4,5.30,17,"Tennessee"
ak,10569137,1,"Wednesday, October  3, 2012 02:36:14 UTC",62.9112,-148.6740,2.9,82.60,47,"Central Alaska"
nn,00390099,9,"Wednesday, October  3, 2012 02:29:46 UTC",39.3192,-117.3243,1.5,3.10, 8,"Nevada"
us,c000d059,9,"Wednesday, October  3, 2012 02:13:13 UTC",44.4747,-128.8140,4.3,10.00,154,"off the coast of Oregon"
ci,15223921,2,"Wednesday, October  3, 2012 01:49:34 UTC",34.2185,-117.4548,1.6,9.10,28,"Greater Los Angeles area, California"
ak,10569119,1,"Wednesday, October  3, 2012 01:38:58 UTC",61.2411,-152.4921,2.1,0.00,13,"Southern Alaska"
nc,71851525,1,"Wednesday, October  3, 2012 01:15:52 UTC",38.7800,-122.7555,1.7,1.70,25,"Northern California"
nc,71851530,3,"Wednesday, October  3, 2012 01:14:36 UTC",40.3870,-124.2750,2.1,23.80,21,"Northern California"
mb,28504,1,"Wednesday, October  3, 2012 00:53:19 UTC",47.0698,-111.1876,1.5,0.00,16,"western Montana"
us,c000d04d,6,"Wednesday, October  3, 2012 00:50:29 UTC",53.2156,-166.7191,4.6,39.80,217,"Fox Islands, Aleutian Islands, Alaska"
ak,10569101,2,"Wednesday, October  3, 2012 00:44:03 UTC",62.2156,-150.4633,1.2,14.20,11,"Central Alaska"
ci,15223905,2,"Wednesday, October  3, 2012 00:39:51 UTC",34.0127,-116.9642,1.6,15.40,45,"Southern California"
pr,12277000,0,"Wednesday, October  3, 2012 00:35:52 UTC",19.6842,-64.3348,3.7,33.00, 8,"Virgin Islands region"
ak,10569095,1,"Wednesday, October  3, 2012 00:29:35 UTC",65.1434,-147.9042,1.1,0.50, 4,"northern Alaska"
ak,10569092,1,"Wednesday, October  3, 2012 00:24:47 UTC",65.2194,-147.7660,1.0,30.50, 4,"northern Alaska"
ak,10569084,1,"Wednesday, October  3, 2012 00:19:51 UTC",60.6128,-147.5369,2.8,6.70,49,"Southern Alaska"
ci,15223881,2,"Tuesday, October  2, 2012 23:59:37 UTC",35.7455,-118.0373,1.4,4.80,39,"Central California"
ak,10569071,1,"Tuesday, October  2, 2012 23:36:54 UTC",64.9826,-147.4416,1.6,0.00,10,"Central Alaska"
nc,71851470,0,"Tuesday, October  2, 2012 23:19:52 UTC",38.7820,-122.7557,1.4,1.80,20,"Northern California"
uu,60000282,2,"Tuesday, October  2, 2012 23:05:33 UTC",39.3923,-111.0647,1.0,1.70, 8,"Utah"
ci,15223865,2,"Tuesday, October  2, 2012 22:55:21 UTC",36.5055,-116.9090,1.3,8.10,13,"Central California"
ak,10568995,1,"Tuesday, October  2, 2012 22:41:33 UTC",62.8634,-149.9658,1.4,36.70, 4,"Central Alaska"
pr,12276008,0,"Tuesday, October  2, 2012 22:41:21 UTC",19.6350,-64.3870,3.4,7.00, 5,"Virgin Islands region"
pr,12276009,0,"Tuesday, October  2, 2012 22:38:48 UTC",19.5804,-64.4070,3.4,47.00, 6,"Virgin Islands region"
ci,15223857,0,"Tuesday, October  2, 2012 22:10:38 UTC",32.5853,-115.6687,1.6,10.50,17,"Baja California, Mexico"
ci,15223849,0,"Tuesday, October  2, 2012 22:07:12 UTC",32.8077,-116.1363,1.6,9.80,14,"Southern California"
nc,71851430,0,"Tuesday, October  2, 2012 22:06:27 UTC",38.8102,-122.7903,1.2,3.00,21,"Northern California"
nc,71851420,3,"Tuesday, October  2, 2012 21:45:36 UTC",40.2703,-124.4810,1.2,18.70,12,"offshore Northern California"
ci,15223841,0,"Tuesday, October  2, 2012 21:39:33 UTC",33.9872,-116.6838,1.5,14.90,66,"Southern California"
nc,71851415,0,"Tuesday, October  2, 2012 21:32:02 UTC",38.8198,-122.8165,1.1,4.60,13,"Northern California"
ak,10568956,1,"Tuesday, October  2, 2012 21:10:43 UTC",62.8513,-151.7760,1.7,6.10,10,"Central Alaska"
pr,12276007,0,"Tuesday, October  2, 2012 21:00:48 UTC",19.6375,-64.2690,3.4,18.00, 8,"Virgin Islands region"
ci,15223817,0,"Tuesday, October  2, 2012 20:57:36 UTC",32.8058,-116.1333,2.0,7.90,17,"Southern California"
ci,15223809,0,"Tuesday, October  2, 2012 20:56:16 UTC",33.2793,-116.3292,2.0,11.80,103,"Southern California"
uu,60000262,4,"Tuesday, October  2, 2012 20:42:40 UTC",38.9842,-112.9362,1.9,0.30,13,"Utah"
ci,15223801,0,"Tuesday, October  2, 2012 20:21:07 UTC",32.7917,-116.1498,2.3,8.00,100,"Southern California"
nc,71851385,0,"Tuesday, October  2, 2012 20:19:07 UTC",38.8420,-122.7700,1.4,1.60,10,"Northern California"
ak,10568639,2,"Tuesday, October  2, 2012 19:59:32 UTC",51.5522,-178.0460,3.8,5.00,27,"Andreanof Islands, Aleutian Islands, Alaska"
ci,15223793,0,"Tuesday, October  2, 2012 19:57:39 UTC",33.3788,-116.4033,1.9,10.00,102,"Southern California"
us,c000cztv,5,"Tuesday, October  2, 2012 19:43:08 UTC",24.6778,-110.1794,4.1,15.40,192,"Gulf of California"
